#seqid	description	orientation	amoa log odds	pmoa log odds	bg log odds	label
EPAH0046	 noise	-	 -656.2340	 -423.8929	 -358.9283	bg
ECAT0005	 noise	-	-1355.4615	 -989.8502	 -817.5938	bg
RPAX0063	 noise	+	-1356.5710	 -915.0105	 -772.3231	bg
K1AA0023	 noise	+	-1514.3552	-1012.6434	 -820.4484	bg
K8AH0064	 noise	-	-1432.0262	 -926.1431	 -745.9850	bg
K8AH0065	 noise	-	-1460.1494	 -997.7140	 -819.4861	bg
K8AH0066	 noise	+	 -787.3183	 -564.8816	 -456.2651	bg
K8AH0067	 noise	-	 -996.5832	 -757.0455	 -640.3690	bg
K8AH0060	 noise	+	-1394.0121	 -962.4088	 -761.4406	bg
K8AH0062	 noise	+	-1429.7177	 -932.2216	 -796.2548	bg
K8AH0063	 noise	+	-1547.3108	 -994.0813	 -835.0790	bg
KDAJ0024	 noise	+	-1514.9574	 -985.3283	 -819.8765	bg
ECAT0037	 noise	-	-1476.5029	 -939.1556	 -772.6176	bg
KDAJ0025	 noise	-	 -875.2235	 -636.8513	 -527.6123	bg
ECAR0013	 noise	-	 -276.3234	 -206.7464	 -177.3555	bg
ESAH0001	 noise	+	 -751.9379	 -480.1636	 -402.1197	bg
ECAR0007	 noise	-	 -888.0997	 -630.7508	 -511.3244	bg
K1AA0029	 noise	-	-1436.9094	 -847.8912	 -682.8791	bg
EPAO0073	 noise	-	-1446.7722	 -885.8905	 -734.4505	bg
ECAM0079	 noise	-	-1290.1976	 -886.7801	 -698.8879	bg
ECAM0078	 noise	-	-1149.1135	 -849.5004	 -663.0722	bg
ECAM0073	 noise	-	-1237.7452	 -829.3835	 -682.0009	bg
ECAM0072	 noise	-	-1383.0805	 -872.9506	 -672.7688	bg
ECAM0071	 noise	-	-1299.1242	 -811.3017	 -669.7813	bg
ECAM0070	 noise	-	-1227.5894	 -847.4640	 -670.9224	bg
ECAM0077	 noise	-	-1438.2923	 -987.5020	 -785.7296	bg
ECAM0076	 noise	+	-1375.1998	 -946.9266	 -760.0098	bg
ECAM0075	 noise	+	-1315.0096	 -858.9177	 -677.4170	bg
ECAR0005	 noise	-	-1260.7500	 -883.9078	 -711.2450	bg
ECAR0004	 noise	-	-1060.2624	 -766.7862	 -635.3931	bg
ESAI0011	 noise	-	-1292.5864	 -844.6262	 -737.8383	bg
ISAZ71	 noise	-	-1294.9339	 -913.3051	 -747.9952	bg
ECAR0001	 noise	+	-1378.5774	-1046.1397	 -833.9806	bg
ECAR0003	 noise	-	-1270.4535	 -799.9272	 -669.8746	bg
ECAR0002	 noise	-	-1059.0241	 -747.6819	 -600.1128	bg
ECAR0008	 noise	+	-1282.9320	 -843.5846	 -690.1184	bg
ESAS0001	 noise	-	-1281.6672	 -805.8458	 -687.5891	bg
KDAJ0066	 noise	-	-1146.1658	 -705.3734	 -600.8216	bg
KDAJ0065	 noise	+	-1273.2267	 -915.3108	 -756.0493	bg
RPAX0051	 noise	-	-1503.0942	 -961.5665	 -806.3774	bg
RCAY0048	 noise	-	-1459.1812	-1002.2342	 -861.6672	bg
ESAJ0094	 noise	+	 -238.8063	 -154.4192	 -141.5006	bg
ESAJ0095	 noise	-	 -851.0131	 -559.0877	 -448.1916	bg
EPAL0040	 noise	+	-1359.3303	 -914.1050	 -763.9874	bg
EPAL0041	 noise	-	-1451.9888	 -931.6965	 -826.6275	bg
ESAV0089	 noise	-	-1183.5557	 -841.3076	 -686.2799	bg
ESAV0088	 noise	-	-1397.8795	 -901.8427	 -729.5442	bg
ESAV0081	 noise	-	-1372.9783	 -861.6375	 -747.5827	bg
ESAV0080	 noise	-	-1585.3610	-1017.1487	 -829.7942	bg
ESAV0083	 noise	-	  -15.9836	  -15.8934	  -15.2577	bg
ESAV0082	 noise	+	-1281.8300	 -891.5011	 -757.3918	bg
ESAV0085	 noise	-	-1053.7510	 -733.1057	 -583.1866	bg
ESAV0084	 noise	-	-1379.1510	 -943.6619	 -739.4672	bg
ESAV0087	 noise	-	-1272.9560	 -857.9077	 -746.2799	bg
KDAJ0052	 noise	-	-1219.0971	 -831.4879	 -729.7537	bg
ESAV0029	 noise	-	-1383.2515	 -990.1266	 -870.9029	bg
ECAR0070	 noise	-	-1502.0149	 -909.7512	 -731.6020	bg
ESAJ0035	 noise	-	 -725.8105	 -484.3391	 -379.7796	bg
ESAJ0036	 noise	+	-1356.5760	 -810.9817	 -650.7099	bg
ECAR0073	 noise	-	 -131.5148	  -84.7786	  -67.0943	bg
ECAR0074	 noise	+	-1402.4587	 -924.5462	 -767.8065	bg
ESAJ0031	 noise	+	-1269.4150	 -840.8480	 -668.8981	bg
ECAR0076	 noise	+	-1495.1180	-1040.7453	 -875.4134	bg
ESAJ0033	 noise	+	-1623.2995	-1109.2403	 -921.6669	bg
ECAR0078	 noise	-	-1179.3087	 -821.3785	 -654.2485	bg
ECAR0079	 noise	+	-1610.8092	-1140.1420	 -879.2367	bg
ESAJ0038	 noise	+	-1142.4893	 -853.0527	 -661.3290	bg
ESAJ0039	 noise	+	-1259.6139	 -851.1534	 -672.9055	bg
ECAT0010	 noise	-	-1239.2019	 -852.7726	 -748.8675	bg
ECAT0011	 noise	+	-1547.1651	-1054.6861	 -839.6649	bg
ECAT0012	 noise	-	-1549.7938	 -981.6827	 -804.3114	bg
ECAT0013	 noise	+	-1411.3300	 -996.3524	 -816.9237	bg
ECAT0014	 noise	-	-1558.7816	-1019.7914	 -856.1456	bg
ECAT0017	 noise	+	-1641.3848	-1139.4606	 -932.5853	bg
ECAT0018	 noise	+	-1522.8162	 -982.0273	 -809.6166	bg
ECAT0019	 noise	-	-1303.7242	 -915.7887	 -756.8761	bg
ESAV0019	 noise	-	-1497.6087	 -942.0593	 -767.6147	bg
ESAH0058	 noise	-	-1327.3937	 -934.7041	 -766.8992	bg
RPAX0047	 noise	+	-1300.5678	 -929.0759	 -784.0115	bg
RPAX0046	 noise	+	-1414.0880	 -940.4422	 -785.3514	bg
ECAT0030	 noise	-	 -710.7736	 -466.2693	 -406.8278	bg
KDAJ0059	 noise	-	-1292.1338	 -826.8211	 -719.6241	bg
ESAJ0048	 noise	+	-1912.4217	-1257.5255	-1042.5246	bg
ESAV0014	 noise	-	-1341.0813	 -842.2027	 -725.8817	bg
ECAT0044	 noise	+	-1435.2079	 -919.5547	 -817.6977	bg
ESAV0012	 noise	-	-1406.1174	 -906.7488	 -792.1406	bg
ECAT0042	 noise	+	-1473.0196	 -930.3895	 -777.8232	bg
KDAE0061	 noise	-	-1511.4049	 -949.6318	 -786.7323	bg
KDAE0060	 noise	-	-1425.6666	 -884.4071	 -744.4694	bg
KDAE0063	 noise	-	-1328.3764	 -837.0140	 -713.6679	bg
KDAE0062	 noise	+	-1296.6665	 -831.2488	 -678.7983	bg
KDAE0065	 noise	-	-1443.2370	 -949.0686	 -811.7261	bg
KDAE0064	 noise	+	-1362.7251	 -892.2305	 -724.1433	bg
KDAE0067	 noise	-	-1335.1217	 -833.9729	 -708.0090	bg
KDAE0066	 noise	-	-1286.1360	 -897.5159	 -736.4432	bg
KDAE0069	 noise	+	-1732.4469	-1066.0900	 -875.4285	bg
EPAO0091	 noise	-	-1814.1734	-1157.9328	 -968.5101	bg
EPAO0092	 noise	-	-2052.3468	-1295.6299	-1091.3365	bg
EPAO0093	 noise	-	-2025.8411	-1288.3454	-1084.8249	bg
EPAO0094	 noise	-	-2053.7962	-1297.0828	-1093.0900	bg
EPAO0095	 noise	-	-1990.0568	-1341.7121	-1109.9571	bg
EPAO0096	 noise	+	-1377.9280	 -902.4101	 -734.3329	bg
ESAQ0070	 noise	-	-1358.2881	 -978.4611	 -786.8264	bg
ESAH0062	 noise	-	 -508.8779	 -383.0291	 -340.9854	bg
K7AH0050	 noise	-	-1505.9288	 -982.0261	 -825.2751	bg
ESAH0064	 noise	-	 -694.5125	 -493.9433	 -428.0404	bg
RCAY0023	 noise	+	-1558.5865	-1050.8343	 -842.4910	bg
RCAY0022	 noise	-	-1472.8271	 -949.1333	 -776.3438	bg
RCAY0025	 noise	+	-1607.5443	-1078.5494	 -871.5255	bg
ESAI0061	 noise	-	-1446.8415	 -929.4252	 -782.7403	bg
ESAS0008	 noise	+	-1199.3719	 -779.3093	 -666.6652	bg
RCAY0026	 noise	-	-1404.7852	 -951.1872	 -783.9613	bg
RCAY0028	 noise	-	-1394.1163	 -895.4882	 -737.5151	bg
RPAX0030	 noise	-	-1429.9386	 -938.5514	 -790.7985	bg
RPAX0031	 noise	-	-1414.9723	 -945.1398	 -767.5665	bg
EPAU0014	 noise	-	-1399.3526	 -926.5717	 -779.7135	bg
RPAX0033	 noise	-	-1438.5947	 -941.9169	 -791.4290	bg
RPAX0034	 noise	+	-1500.7947	 -976.8457	 -810.3592	bg
EPAU0013	 noise	-	-1455.7268	 -965.1626	 -807.4595	bg
RPAX0036	 noise	-	-1580.4357	 -941.4497	 -792.5893	bg
RPAX0037	 noise	-	-1487.0872	 -920.6884	 -761.8619	bg
RPAX0039	 noise	-	-1490.9350	 -962.8242	 -800.0011	bg
EPAO0089	 noise	-	-2120.4077	-1327.9318	-1120.0067	bg
EPAU0018	 noise	+	-1363.9403	 -875.1005	 -733.3410	bg
ISAZ10	 noise	-	 -620.9734	 -419.6974	 -352.9342	bg
ISAZ11	 noise	-	-1523.7552	-1000.6878	 -842.9775	bg
ISAZ12	 noise	+	-1361.8257	 -917.8258	 -768.9019	bg
EPAO0088	 noise	+	-1671.0788	-1255.8088	-1018.6412	bg
ISAZ14	 noise	+	-1371.1767	-1032.5934	 -833.0176	bg
ISAZ16	 noise	-	-1378.9377	 -942.3682	 -765.5828	bg
ISAZ17	 noise	-	-1390.8775	-1000.5916	 -798.9589	bg
ISAZ18	 noise	-	-1412.8615	 -969.2527	 -829.7160	bg
ESAV0075	 noise	+	-1217.4434	 -837.4696	 -684.5872	bg
K1AH0028	 noise	-	-1582.2843	-1050.4329	 -933.0375	bg
KDAE0011	 noise	-	-1245.6313	 -842.3287	 -692.9060	bg
EPAL0047	 noise	-	-1371.7419	 -961.4212	 -841.3655	bg
KDAE0012	 noise	-	 -863.2450	 -558.0262	 -468.6325	bg
KDAF0002	 noise	+	 -100.2490	  -82.9740	  -75.1449	bg
KDAE0013	 noise	-	-1371.5495	 -965.8195	 -797.6226	bg
EPAU0036	 noise	-	-1340.6133	 -845.1204	 -708.9307	bg
ECAM0037	 noise	-	-1314.1088	 -849.2950	 -698.1561	bg
ESAJ0084	 noise	+	 -161.2358	 -130.7837	 -116.9982	bg
EPAU0058	 noise	+	-1464.1526	 -956.1881	 -797.9847	bg
EPAS0084	 noise	-	-1285.2275	 -903.2509	 -732.1905	bg
ECAM0033	 noise	-	-1571.8769	 -943.9470	 -789.5888	bg
ECAM0032	 noise	-	 -496.7489	 -325.7753	 -250.6574	bg
ECAM0031	 noise	-	-1311.8576	 -852.8143	 -669.2859	bg
ECAM0030	 noise	-	-1248.6707	 -821.3492	 -668.8200	bg
ESAS0022	 noise	-	-1181.3512	 -801.2180	 -643.4995	bg
ESAS0021	 noise	-	-1419.6232	 -866.4957	 -766.4227	bg
ESAS0026	 noise	+	 -756.9006	 -390.4955	 -347.4966	bg
ESAJ0088	 noise	-	 -495.2271	 -344.3645	 -281.7980	bg
EPAS0089	 noise	-	-1307.4430	 -901.9830	 -757.7561	bg
EPAS0088	 noise	+	-1235.9195	 -827.1624	 -662.0204	bg
RCAY0027	 noise	+	-1588.3290	-1071.3206	 -857.8556	bg
ESAH0035	 noise	+	-1082.3037	 -748.4665	 -605.2931	bg
EPAO0086	 noise	-	-1725.9627	-1207.1880	-1001.0377	bg
EPAU0081	 noise	+	-1442.1800	 -935.2414	 -760.6056	bg
EPAU0080	 noise	+	-1493.0657	-1028.8791	 -837.0342	bg
EPAU0083	 noise	+	-1494.3873	 -974.7378	 -801.0792	bg
EPAU0082	 noise	+	-1138.3825	 -851.9224	 -717.9288	bg
EPAU0085	 noise	-	-1411.8213	 -881.0151	 -760.1426	bg
EPAU0084	 noise	-	-1123.5194	 -765.0172	 -685.7375	bg
EPAU0087	 noise	-	-1380.4676	 -975.1885	 -802.7110	bg
EPAU0086	 noise	-	-1565.8903	 -954.8453	 -793.1053	bg
EPAU0089	 noise	-	-1294.5964	 -861.2174	 -747.3409	bg
EPAU0088	 noise	-	-1439.6268	 -942.1177	 -792.1177	bg
ESAS0029	 noise	-	 -125.3179	 -107.6427	 -103.8713	bg
ESAV0028	 noise	-	-1383.7035	 -961.0739	 -817.4086	bg
EPAW0009	 noise	-	-1408.6488	 -946.8763	 -743.3678	bg
ECAR0006	 noise	-	-1101.3379	 -768.2404	 -615.2014	bg
EPAW0003	 noise	-	-1493.1987	 -966.7669	 -809.0145	bg
EPAW0002	 noise	-	-1451.5468	 -962.0737	 -800.1660	bg
EPAW0006	 noise	+	-1536.4770	 -987.8307	 -843.1882	bg
EPAW0005	 noise	-	-1320.5953	 -892.8434	 -778.6015	bg
K1AB0008	 noise	+	-1530.3453	-1044.7611	 -824.9708	bg
K7AH0033	 noise	-	-1632.4697	-1113.7193	 -894.6373	bg
ECAR0038	 noise	-	-1416.4684	 -980.2677	 -786.0695	bg
K7AH0035	 noise	-	-1534.2857	-1003.3778	 -869.9904	bg
K7AH0036	 noise	+	-1513.8855	-1025.3299	 -825.1219	bg
ECAR0034	 noise	-	-1454.5204	 -933.1394	 -776.6502	bg
K7AH0039	 noise	-	-1406.0274	 -916.0137	 -800.5436	bg
ECAR0036	 noise	+	-1150.8553	 -759.2894	 -636.2770	bg
ECAR0030	 noise	+	-1122.4301	 -816.8393	 -668.6597	bg
RPAX0083	 noise	-	-1276.1805	 -840.3025	 -689.5208	bg
ECAR0032	 noise	+	-1208.4759	 -822.6827	 -664.8989	bg
ECAR0033	 noise	-	-1298.7598	 -832.5112	 -689.7958	bg
ISBA79	 noise	-	-1390.8858	-1028.8163	 -780.5895	bg
RPAX0082	 noise	-	-1508.7255	 -995.9707	 -829.9028	bg
ESAV0071	 noise	+	-1371.6885	 -959.0367	 -833.7948	bg
ISBA71	 noise	-	-1091.9449	 -677.3081	 -571.6047	bg
ISBA76	 noise	-	-1437.8167	 -905.4381	 -715.6691	bg
ISBA77	 noise	-	-1454.7228	 -886.0103	 -729.6947	bg
EPAU0030	 noise	-	-1349.7413	 -908.9618	 -781.2397	bg
ISAZ61	 noise	-	-1534.8806	-1002.7587	 -839.8926	bg
ESAJ0002	 noise	-	-1185.2403	 -754.7371	 -617.8095	bg
ESAV0072	 noise	-	-1199.7123	 -848.7187	 -690.7881	bg
KDAF0017	 noise	-	-1398.2657	 -907.2023	 -766.3348	bg
EPAL0017	 noise	-	-1357.8803	 -883.7921	 -704.0088	bg
EPAL0019	 noise	+	-1206.5090	 -861.4648	 -673.8899	bg
ESAH0032	 noise	-	 -876.5887	 -540.2075	 -471.8546	bg
ESAH0033	 noise	+	-1497.8699	-1011.1645	 -819.6702	bg
ESAH0031	 noise	-	 -973.4969	 -662.2390	 -557.1644	bg
KDAE0029	 noise	-	-1747.6379	-1063.0994	 -876.1630	bg
KDAE0028	 noise	+	-1011.8407	 -697.7334	 -534.8794	bg
EPAU0008	 noise	-	-1208.3404	 -835.3223	 -715.9169	bg
KDAE0025	 noise	-	-1407.2836	 -920.2767	 -775.9983	bg
KDAE0027	 noise	-	-1213.8002	 -815.2971	 -672.8634	bg
EPAU0037	 noise	-	-1277.0483	 -873.3102	 -757.3256	bg
KDAE0021	 noise	-	-1423.5657	 -910.2150	 -752.1290	bg
KDAE0020	 noise	+	-1298.7476	 -835.7713	 -676.3193	bg
KDAE0023	 noise	+	-1081.9106	 -780.9312	 -636.0139	bg
ESAV0073	 noise	+	-1220.9602	 -867.8423	 -692.7808	bg
EPAU0039	 noise	-	-1413.2964	 -969.4042	 -781.6978	bg
ESAJ0063	 noise	+	 -262.9092	 -167.4348	 -127.7778	bg
ESAJ0062	 noise	+	 -334.5834	 -196.2730	 -154.8625	bg
ESAJ0061	 noise	+	-1353.6935	 -850.5006	 -647.1487	bg
ESAJ0060	 noise	+	-1379.2497	 -848.1049	 -668.9875	bg
ESAJ0064	 noise	+	-1304.2835	 -847.1036	 -655.8920	bg
ESAH0024	 amoA	+	 -227.0368	 -599.6535	 -642.8875	amoa
ESAH0027	 amoA	+	 -197.1176	 -572.0530	 -631.2531	amoa
ESAH0023	 amoA	+	 -209.1696	 -557.1711	 -629.3884	amoa
ESAH0008	 amoA	+	 -300.4959	 -589.3470	 -642.6232	amoa
ESAH0063	 amoA	+	 -227.0368	 -599.6535	 -642.8875	amoa
ESAH0029	 amoA	+	 -275.3488	 -589.3492	 -639.2884	amoa
ESAH0041	 amoA	+	 -226.7603	 -602.4271	 -643.4215	amoa
ESAH0040	 amoA	+	 -226.7603	 -602.4271	 -643.4215	amoa
ESAH0044	 pmoA	+	-1005.1633	 -640.5168	 -658.8618	pmoa
ESAH0049	 amoA	+	 -225.4539	 -599.3041	 -642.8113	amoa
ESAH0048	 amoA	+	 -227.0368	 -599.6535	 -642.8875	amoa
EPAH0071	 amoA	+	 -225.7457	 -589.9704	 -641.1854	amoa
EPAH0072	 amoA	+	 -227.0368	 -599.6535	 -642.8875	amoa
ESAH0019	 amoA	+	 -221.4198	 -600.3420	 -642.8666	amoa
ESAH0036	 pmoA	+	 -888.5610	 -614.8682	 -676.2651	pmoa
ESAH0037	 amoA	+	 -227.0368	 -599.6535	 -642.8875	amoa
ESAH0034	 amoA	+	 -227.0368	 -599.6535	 -642.8875	amoa
ESAH0016	 amoA	+	 -210.0598	 -582.5119	 -634.6956	amoa
ESAH0039	 amoA	+	 -226.7603	 -602.4271	 -643.4215	amoa
ESAH0012	 amoA	+	 -284.6723	 -573.5275	 -640.8193	amoa
ESAH0051	 amoA	+	 -227.0368	 -599.6535	 -642.8875	amoa
ESAH0099	 amoA	+	 -227.0368	 -599.6535	 -642.8875	amoa
ESAH0056	 amoA	+	 -225.7457	 -589.9704	 -641.1854	amoa
ESAH0057	 amoA	+	 -227.0368	 -599.6535	 -642.8875	amoa
ESAJ0089	 amoA	+	 -241.2215	 -612.8123	 -643.6806	amoa
ESAJ0092	 amoA	+	 -196.4671	 -578.9233	 -637.9884	amoa
ESAJ0090	 amoA	+	 -227.0368	 -599.6535	 -642.8875	amoa
ESAJ0091	 amoA	+	 -226.7603	 -602.4271	 -643.4215	amoa
ESAJ0074	 amoA	+	 -226.7603	 -602.4271	 -643.4215	amoa
ESAJ0077	 amoA	+	 -227.0368	 -599.6535	 -642.8875	amoa
K1AA0024	 pmoA	+	 -963.7960	 -622.0892	 -683.7804	pmoa
K1AA0025	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
K1AA0026	 pmoA	+	 -965.6050	 -615.2541	 -686.3377	pmoa
K1AA0034	 pmoA	+	 -979.0818	 -612.7381	 -685.3319	pmoa
K1AA0020	 pmoA	+	 -993.4882	 -615.4405	 -687.0368	pmoa
K1AA0031	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
K1AA0022	 amoA	+	 -237.4718	 -606.4746	 -644.9844	amoa
K1AA0030	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
K1AA0028	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
K1AA0035	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
KDAA0011	 pmoA	+	 -938.4790	 -598.9780	 -680.9183	pmoa
KDAA0001	 pmoA	+	 -903.6584	 -611.8706	 -671.7792	pmoa
KDAA0006	 pmoA	+	-1059.4654	 -546.0304	 -636.5558	pmoa
KDAA0004	 pmoA	+	 -950.7392	 -586.3708	 -678.3489	pmoa
K1AA0033	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
K1AA0014	 amoA	+	 -237.4718	 -606.4746	 -644.9844	amoa
KDAA0009	 pmoA	+	 -917.6265	 -623.3766	 -678.2189	pmoa
K1AB0009	 pmoA	+	 -975.1409	 -619.9753	 -684.4989	pmoa
K1AB0016	 pmoA	+	 -923.6367	 -579.8195	 -633.3715	pmoa
K1AB0031	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
K1AB0001	 amoA	+	 -396.4369	 -614.4756	 -660.1458	amoa
K1AB0002	 pmoA	+	 -963.7960	 -622.0892	 -683.7804	pmoa
K1AB0006	 amoA	+	 -237.4718	 -606.4746	 -644.9844	amoa
K1AB0023	 pmoA	+	 -977.6867	 -616.9376	 -685.8133	pmoa
K1AB0027	 pmoA	+	 -998.5763	 -637.9591	 -642.3044	pmoa
K1AB0026	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
K1AB0025	 pmoA	+	 -969.4295	 -617.1496	 -687.2839	pmoa
K1AB0024	 pmoA	+	 -915.3085	 -553.2546	 -628.6894	pmoa
K1AB0028	 pmoA	+	 -967.8398	 -634.4803	 -684.9748	pmoa
K1AB0035	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
K1AB0030	 pmoA	+	-1008.1415	 -630.5896	 -689.0553	pmoa
K1AB0017	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
K1AB0032	 pmoA	+	 -894.1950	 -564.6442	 -569.9035	pmoa
K1AB0033	 pmoA	+	 -917.2139	 -575.9607	 -636.8386	pmoa
K1AB0034	 pmoA	+	 -993.4882	 -615.4405	 -687.0368	pmoa
K1AB0013	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
K1AB0018	 pmoA	+	 -990.1005	 -627.2020	 -684.1966	pmoa
K1AB0019	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
KDAC0032	 pmoA	+	 -959.3545	 -605.8079	 -684.5275	pmoa
KDAC0001	 pmoA	+	 -917.6265	 -623.3766	 -678.2189	pmoa
KDAC0030	 pmoA	+	 -954.2580	 -605.6714	 -684.4591	pmoa
KDAC0003	 pmoA	+	 -938.4790	 -598.9780	 -680.9183	pmoa
KDAC0028	 pmoA	+	 -959.3545	 -605.8079	 -684.5275	pmoa
KDAC0004	 pmoA	+	 -903.6584	 -611.8706	 -671.7792	pmoa
KDAC0006	 pmoA	+	-1049.8552	 -681.9440	 -694.9933	pmoa
KDAC0009	 pmoA	+	 -945.6590	 -625.8865	 -674.1307	pmoa
KDAC0008	 pmoA	+	 -992.3740	 -590.7034	 -680.3932	pmoa
KDAC0021	 pmoA	+	 -960.6722	 -634.7363	 -672.5238	pmoa
KDAC0026	 pmoA	+	 -909.5955	 -622.0335	 -672.5714	pmoa
KDAC0025	 pmoA	+	 -903.6584	 -611.8706	 -671.7792	pmoa
KDAC0024	 pmoA	+	-1007.5659	 -593.2254	 -680.0460	pmoa
KDAC0018	 pmoA	+	 -950.7392	 -586.3708	 -678.3489	pmoa
KDAC0016	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
KDAC0017	 pmoA	+	-1007.6505	 -524.2889	 -651.2246	pmoa
KDAC0014	 pmoA	+	 -953.7211	 -604.7716	 -685.1112	pmoa
KDAC0015	 pmoA	+	 -950.3727	 -625.6765	 -672.7411	pmoa
KDAC0012	 pmoA	+	 -957.2413	 -606.3986	 -684.7650	pmoa
KDAC0013	 pmoA	+	 -945.6590	 -625.8865	 -674.1307	pmoa
KDAC0010	 pmoA	+	 -885.6106	 -631.4417	 -678.2152	pmoa
KDAC0011	 amoA	+	 -371.0703	 -637.6345	 -665.9619	amoa
KDAC0031	 pmoA	+	 -917.6265	 -623.3766	 -678.2189	pmoa
KDAC0029	 pmoA	+	 -959.3545	 -605.8079	 -684.5275	pmoa
KDAC0022	 pmoA	+	 -885.6106	 -631.4417	 -678.2152	pmoa
K1AD0017	 pmoA	+	 -969.4295	 -617.1496	 -687.2839	pmoa
K1AD0021	 pmoA	+	 -969.4295	 -617.1496	 -687.2839	pmoa
K1AD0020	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
K1AD0009	 pmoA	+	 -989.3455	 -613.1641	 -685.7178	pmoa
K1AD0008	 amoA	+	 -237.4718	 -606.4746	 -644.9844	amoa
K1AD0007	 amoA	+	 -308.8599	 -607.6047	 -644.6629	amoa
K1AD0015	 pmoA	+	 -989.3455	 -613.1641	 -685.7178	pmoa
K1AD0016	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
K1AD0022	 pmoA	+	 -963.7960	 -622.0892	 -683.7804	pmoa
K1AD0010	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
K1AD0011	 pmoA	+	 -969.4295	 -617.1496	 -687.2839	pmoa
K1AD0001	 amoA	+	 -237.4718	 -606.4746	 -644.9844	amoa
K1AD0013	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
K1AD0014	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
K1AD0012	 pmoA	+	 -967.2434	 -617.1759	 -687.1677	pmoa
K1AD0018	 pmoA	+	 -967.2434	 -617.1759	 -687.1677	pmoa
K1AD0019	 pmoA	+	 -981.1905	 -613.4748	 -685.5677	pmoa
ESAI0086	 pmoA	+	 -943.7250	 -602.2174	 -684.3755	pmoa
ESAI0087	 pmoA	+	 -986.3526	 -592.4081	 -680.0857	pmoa
ESAI0085	 pmoA	+	 -987.4051	 -592.2232	 -679.1389	pmoa
ESAI0082	 pmoA	+	 -927.3308	 -643.2239	 -693.8054	pmoa
ESAI0062	 pmoA	+	 -970.6266	 -594.6873	 -680.0586	pmoa
ESAI0080	 pmoA	+	 -943.7250	 -602.2174	 -684.3755	pmoa
ESAI0081	 pmoA	+	 -913.8627	 -637.5299	 -693.6504	pmoa
ESAI0007	 pmoA	+	 -986.3526	 -592.4081	 -680.0857	pmoa
ESAI0043	 pmoA	+	 -922.1196	 -637.8853	 -692.6414	pmoa
ESAI0040	 pmoA	+	 -969.4120	 -607.1094	 -681.0025	pmoa
ESAI0046	 pmoA	+	 -944.3119	 -602.1562	 -684.1102	pmoa
ESAI0047	 pmoA	+	 -943.7250	 -602.2174	 -684.3755	pmoa
ESAI0088	 pmoA	+	 -943.7250	 -602.2174	 -684.3755	pmoa
ESAI0045	 pmoA	+	 -915.3485	 -623.8670	 -678.7066	pmoa
ESAI0064	 amoA	+	 -399.6878	 -638.6496	 -678.7388	amoa
ESAI0006	 pmoA	+	 -943.7250	 -602.2174	 -684.3755	pmoa
ESAI0066	 pmoA	+	 -922.1196	 -637.8853	 -692.6414	pmoa
ESAI0008	 pmoA	+	 -971.5553	 -606.3542	 -681.0498	pmoa
ESAI0020	 pmoA	+	 -916.5555	 -642.4737	 -691.9582	pmoa
ESAI0021	 pmoA	+	-1002.0904	 -556.0508	 -634.6937	pmoa
ESAI0023	 pmoA	+	 -971.5553	 -606.3542	 -681.0498	pmoa
ESAI0003	 pmoA	+	 -922.5544	 -640.8513	 -691.4657	pmoa
ESAI0026	 pmoA	+	 -922.1196	 -637.8853	 -692.6414	pmoa
ESAI0005	 pmoA	+	 -943.7250	 -602.2174	 -684.3755	pmoa
ESAI0039	 pmoA	+	 -983.0368	 -592.9796	 -675.7035	pmoa
ESAI0024	 pmoA	+	-1012.0041	 -628.2316	 -685.6292	pmoa
ESAI0069	 pmoA	+	 -956.2476	 -603.7349	 -686.2483	pmoa
ESAI0042	 pmoA	+	 -922.1196	 -637.8853	 -692.6414	pmoa
ESAI0035	 pmoA	+	 -989.9445	 -621.3095	 -686.1656	pmoa
ESAI0090	 pmoA	+	-1156.3223	 -567.4738	 -646.2498	pmoa
ESAI0093	 pmoA	+	 -978.1417	 -592.4638	 -681.1238	pmoa
ESAI0095	 pmoA	+	 -992.3868	 -593.6145	 -679.9550	pmoa
ESAI0094	 pmoA	+	 -986.7757	 -591.4668	 -678.9264	pmoa
ESAI0096	 pmoA	+	 -934.1040	 -601.1165	 -684.8727	pmoa
